name,year,height,lat,lng,address,kaptCode,단지코드,지하주차대수,부대복리시설,accessible
쌍용,1971,2.3,36.33498430395882,127.40148969400929,대전광역시 중구 용두동 182-34,30140212133076,A50086507,315.0,"관리사무소, 노인정, 어린이놀이터",Needs Review
목원B동,1984,2.3,36.33561649440578,127.4022923990367,대전광역시 중구 용두동 182-82,30140212133077,,,,False
목원A동,1984,2.3,36.33531592214394,127.4026440266363,대전광역시 중구 용두동 183-4,30140212133078,,,,False
용호,1987,2.3,36.33570970425201,127.40208287187086,대전광역시 중구 용두동 185-1,30140212133079,,,,False
스카이팰리스,2018,2.3,36.32316980692181,127.40390175178874,대전광역시 중구 오류동 73-1,30140120372712,,,,False
크럭스빌주상복합,2004,2.3,36.32300435043548,127.41075333975807,대전광역시 중구 오류동 151-8,30140100219516,,,,False
오류동누리보듬아파트,2018,2.3,36.32187586587747,127.4090437662972,대전광역시 중구 오류동 157,30140120375045,A10025682,70.0,"관리사무소, 노인정, 주민공동시설, 자전거보관소",Needs Review
서대전역코아루써밋,2021,2.7 (검증필요),36.32172915946397,127.4045328309874,대전광역시 중구 오류동 170-5,30140120419005,A10024294,198.0,"관리사무소, 노인정, 자전거보관소",True
시티팰리스,2013,2.3,36.322612773218026,127.40519943260928,대전광역시 중구 오류동 171-9,30140120173621,,,,False
쉐리움,2005,2.3,36.32228725291469,127.40524453040496,대전광역시 중구 오류동 171-13,30140100448928,,,,False
나이스타운,2012,2.3,36.322028006904816,127.40536857422563,대전광역시 중구 오류동 171-20,30140120167308,,,,False
삼성,1986,2.3,36.3237558746507,127.4079933266068,대전광역시 중구 오류동 175-1,30140100010926,A53035010,0.0,"노인정, 어린이놀이터",False
"천우빌라101동(가,나)",1991,2.3,36.32632256568496,127.40505594755648,대전광역시 중구 오류동 178-6,30140312133085,,,,False
"천우빌라102동(가,나)",1991,2.3,36.32618608709468,127.40512044112506,대전광역시 중구 오류동 178-47,30140312133086,,,,False
"천우빌라103동(가,나)",1991,2.3,36.326048294866204,127.40518372522266,대전광역시 중구 오류동 178-48,30140312133087,,,,False
"천우빌라104동(가,나)",1991,2.3,36.32586224768097,127.40525060021815,대전광역시 중구 오류동 178-49,30140312133088,,,,False
삼합그린빌리지(105동),1999,2.3,36.32522060773197,127.4032475575989,대전광역시 중구 오류동 180-37,30140312133089,,,,False
삼합그린빌리지(106동),1999,2.3,36.32515176611999,127.40300039312774,대전광역시 중구 오류동 180-44,30140312133090,,,,False
삼합그린빌리지(107동),1999,2.3,36.32507798673439,127.40276510734324,대전광역시 중구 오류동 180-45,30140312133091,,,,False
삼합그린빌리지(104동),1999,2.3,36.32488646558771,127.40280489092753,대전광역시 중구 오류동 180-47,30140312133092,,,,False
삼합그린빌리지(103동),1999,2.3,36.32491357438717,127.40299089897556,대전광역시 중구 오류동 180-48,30140312133093,,,,False
삼합그린빌리지(102동),1999,2.3,36.32496695517047,127.40316118833644,대전광역시 중구 오류동 180-49,30140312133094,,,,False
삼합그린빌리지(101동),1999,2.3,36.32501809485822,127.40333548206516,대전광역시 중구 오류동 180-50,30140312133095,,,,False
디자인빌,2017,2.3,36.32544387047701,127.4025001424572,대전광역시 중구 오류동 181-15,30140320358796,,,,False
벨라힐스,2016,2.3,36.325467518056,127.40268928688188,대전광역시 중구 오류동 181-16,30140320344939,,,,False
로즈마리빌,2019,2.3,36.32551335388624,127.40285910295214,대전광역시 중구 오류동 181-17,30140320392346,,,,False
진팰리스,2018,2.3,36.32739667213306,127.40250743442594,대전광역시 중구 오류동 183-3,30140120374437,,,,False
대풍빌라나동,1993,2.3,36.32978388629843,127.40237365179092,대전광역시 중구 오류동 189-3,30140312133096,,,,False
행복한집,2012,2.3,36.32885431418363,127.40277070865469,대전광역시 중구 오류동 189-10,30140320166469,,,,False
리쥬파크,2011,2.3,36.32862643415773,127.4029194609397,대전광역시 중구 오류동 189-12,30140120145959,,,,False
대풍빌라가동,1993,2.3,36.32965894489293,127.40246596644889,대전광역시 중구 오류동 189-86,30140312133097,,,,False
신원주택장미동목화동,1992,2.3,36.330094008387135,127.40073576610172,대전광역시 중구 오류동 190-8,30140312133098,,,,False
한밭주택A동,1984,2.3,36.32981462057207,127.40075534857476,대전광역시 중구 오류동 190-11,30140212133099,,,,False
"서정주택1,2동",1989,2.3,36.32946565465227,127.40097150153024,대전광역시 중구 오류동 190-12,30140312133100,,,,False
"서정주택7,8동",1989,2.3,36.329112831656445,127.40110384898723,대전광역시 중구 오류동 190-15,30140312133101,,,,False
한밭주택B동,1984,2.3,36.32968663678554,127.40080383100798,대전광역시 중구 오류동 190-98,30140212133102,,,,False
한밭주택C동,1984,2.3,36.32955717329106,127.40085269053672,대전광역시 중구 오류동 190-100,30140212133103,,,,False
"서정주택3,4동",1989,2.3,36.329347992781294,127.40101610828968,대전광역시 중구 오류동 190-119,30140312133104,,,,False
"서정주택5,6동",1989,2.3,36.32922952288095,127.40106064460188,대전광역시 중구 오류동 190-120,30140312133105,,,,False
"서정주택9,10동",1989,2.3,36.328994831088096,127.40114731703198,대전광역시 중구 오류동 190-122,30140312133106,,,,False
신원주택백합동국화동,1992,2.3,36.32995181209368,127.40082461110391,대전광역시 중구 오류동 190-125,30140312133107,,,,False
유등마을쌍용아파트,2000,2.3,36.331622625240485,127.39876699413642,대전광역시 중구 태평동 253-1,30140100010942,,,,False
푸른뫼,1999,2.3,36.32979863344556,127.39944296943511,대전광역시 중구 태평동 254-4,30140100010945,A30115002,110.0,"관리사무소, 노인정, 어린이놀이터, 기타",Needs Review
문화주택,1979,2.3,36.3283929569725,127.39947542141836,대전광역시 중구 태평동 257-23,30140212133116,,,,False
황천빌라,1990,2.3,36.32535246822872,127.40158890082962,대전광역시 중구 태평동 278-5,30140312133117,,,,False
"태평연립가,나동",1980,2.3,36.324477083426345,127.40118484663836,대전광역시 중구 태평동 278-14,30140212133118,,,,False
"태평연립다,라,마동",1980,2.3,36.32443285259089,127.4015895318184,대전광역시 중구 태평동 278-66,30140212133119,,,,False
시영아파트12동,1983,2.3,36.32385801537943,127.40140680827788,대전광역시 중구 태평동 281-8,30140100010941,,,,False
"시영아파트1,2,3동",1981,2.3,36.32325309471226,127.401618087658,대전광역시 중구 태평동 312-2,30140120395532,,,,False
태평,2000,2.3,36.32396199262011,127.39945549174638,대전광역시 중구 태평동 317,30140100010944,A30177103,1022.0,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",Needs Review
태평시장상가(328-16),1982,2.3,36.32499296200924,127.39718213546992,대전광역시 중구 태평동 328-16,30140212133130,,,,False
태평시장상가(328-17),1982,2.3,36.32485893986009,127.39723576307163,대전광역시 중구 태평동 328-17,30140212133131,,,,False
태평시장상가(329-2),1982,2.3,36.32491317016946,127.39675353448428,대전광역시 중구 태평동 329-2,30140300442531,,,,False
태평시장상가(329-6),1985,2.3,36.32463744686581,127.39685961878487,대전광역시 중구 태평동 329-6,30140300442533,,,,False
태평시장상가(329-7),1982,2.3,36.32459430352885,127.39669709175568,대전광역시 중구 태평동 329-7,30140300442534,,,,False
태평빌라(332-3),1991,2.3,36.325550926422295,127.39884541428196,대전광역시 중구 태평동 332-3,30140312133132,,,,False
(337-54),1986,2.3,36.32728803840587,127.39671751526134,대전광역시 중구 태평동 337-54,30140212133133,,,,False
아카드빌2,2007,2.3,36.327285824229264,127.39785487939665,대전광역시 중구 태평동 338-4,30140320065585,,,,False
서일,1991,2.3,36.32835015265482,127.39792968971716,대전광역시 중구 태평동 339-25,30140212133134,,,,False
어반리츠,2022,2.7 (검증필요),36.32815867018413,127.39732866814184,대전광역시 중구 태평동 340-1,30140120441025,,,,False
진호빌라,1989,2.3,36.32850278994776,127.39713343220764,대전광역시 중구 태평동 341-4,30140212133135,,,,False
태평빌라(341-6),1991,2.3,36.328280734402654,127.3965920375878,대전광역시 중구 태평동 341-6,30140312133136,,,,False
청남빌라가동,1992,2.3,36.32874042022148,127.39778196611124,대전광역시 중구 태평동 342-5,30140312133137,,,,False
청남빌라나동,1992,2.3,36.32862464926159,127.39780903297812,대전광역시 중구 태평동 342-51,30140312133138,,,,False
동서빌라,1990,2.3,36.33165064141663,127.39645009718718,대전광역시 중구 태평동 354-12,30140312133139,,,,False
만년빌라,1990,2.3,36.33098128584293,127.39623501137922,대전광역시 중구 태평동 355-2,30140312133140,,,,False
만년빌라(355-56),1990,2.3,36.330954995991576,127.3963575644429,대전광역시 중구 태평동 355-56,30140312133141,,,,False
용화빌라,1998,2.3,36.32955121441925,127.39411840806191,대전광역시 중구 태평동 364-60,30140312133142,,,,False
새마을연립,1979,2.3,36.32987811006868,127.39520127119764,대전광역시 중구 태평동 365-15,30140212133143,,,,False
새마을연립(365-28),1978,2.3,36.329769500756726,127.3950968688562,대전광역시 중구 태평동 365-28,30140212133144,,,,False
개나리연립,1979,2.3,36.329511046725294,127.39524836338065,대전광역시 중구 태평동 365-34,30140212133145,,,,False
진달래연립,1984,2.3,36.32897969082227,127.39427401773683,대전광역시 중구 태평동 367-5,30140312133146,,,,False
장미연립비동(369-7),1980,2.3,36.329261507663965,127.39334698581806,대전광역시 중구 태평동 369-7,30140212133147,,,,False
장미연립에이동(369-16),1980,2.3,36.32911073988751,127.3932370476484,대전광역시 중구 태평동 369-16,30140212133148,,,,False
무궁화연립,1980,2.3,36.32822825306015,127.39423350447323,대전광역시 중구 태평동 372-21,30140212133149,,,,False
초원빌라(373-16),1995,2.3,36.32786446638924,127.39401203867646,대전광역시 중구 태평동 373-16,30140312133150,,,,False
현대연립,1981,2.3,36.32756056638015,127.39509312348238,대전광역시 중구 태평동 374-46,30140212133151,,,,False
나이스타운,2012,2.3,36.32450556632239,127.39558041893604,대전광역시 중구 태평동 382-4,30140120162103,,,,False
삼부1,1978,2.3,36.32438314110424,127.39477732957296,대전광역시 중구 태평동 383-1,30140100010933,,,,False
파라곤,2005,2.3,36.32090061522967,127.38827712046104,대전광역시 중구 태평동 389-5,30140100448929,A30115005,955.0,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",Needs Review
삼부4,1986,2.3,36.322146082932754,127.39195690856432,대전광역시 중구 태평동 393,30140100010936,,,,False
삼부3,1985,2.3,36.32356252925895,127.39184015501442,대전광역시 중구 태평동 403-1,30140100010935,,,,False
삼부2,1981,2.3,36.324959289070094,127.3912624379118,대전광역시 중구 태평동 407,30140100010934,,,,False
삼부5,1991,2.3,36.32459125913822,127.3931840372454,대전광역시 중구 태평동 408-1,30140100010939,,,,False
아카드빌,2006,2.3,36.32589115395918,127.39289584577004,대전광역시 중구 태평동 409-38,30140320060194,,,,False
성수빌라,1992,2.3,36.32701712794386,127.393250485525,대전광역시 중구 태평동 410-22,30140312133157,,,,False
한밭하이츠,1988,2.3,36.32778063898981,127.3920305353869,대전광역시 중구 태평동 412-1,30140100010946,,,,False
새롬,1999,2.3,36.32236109188415,127.38986085761935,대전광역시 중구 태평동 419-1,30140100010940,,,,False
버드내1,2000,2.3,36.31795416648734,127.38918793293476,대전광역시 중구 태평동 422-7,30140100010931,,,,False
버드내마을아파트2단지,2000,2.3,36.32077015433143,127.39096252542215,대전광역시 중구 태평동 551,30140100010932,,,,False
쌍용예가,2008,2.3,36.32347125432189,127.39697072954196,대전광역시 중구 태평동 554,30140120100758,A50084514,1308.0,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",Needs Review
라테라스PH42,2024,2.7 (검증필요),36.32624989962801,127.3978780608663,대전광역시 중구 태평동 555,30140120449773,,,,False
유천현대아파트,1990,2.3,36.321167902418495,127.40092798408966,대전광역시 중구 유천동 10,30140100010952,,,,False
장미,1981,2.3,36.32262047693492,127.40071748918233,대전광역시 중구 유천동 10-1,30140100010950,A13114003,,None,False
벽산한사랑,1994,2.3,36.319891914615766,127.39993040197118,대전광역시 중구 유천동 10-2,30140100010949,,,,False
남촌현대,1995,2.3,36.3199406464569,127.40164401883378,대전광역시 중구 유천동 10-4,30140100010948,,,,False
건영,2007,2.3,36.318997078674094,127.40200351276692,대전광역시 중구 유천동 127-39,30140320071541,A50630215,216.0,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",Needs Review
동양빌라,1992,2.3,36.31808704963057,127.4029568034682,대전광역시 중구 유천동 135-3,30140312133172,,,,False
유정빌라(137-13),1990,2.3,36.31642156711575,127.40268261638192,대전광역시 중구 유천동 137-13,30140312133173,,,,False
우주빌라,1996,2.3,36.31623555489037,127.40161493422588,대전광역시 중구 유천동 138-1,30140312133174,,,,False
보라빌라A동,1995,2.3,36.316322042014335,127.4018125318242,대전광역시 중구 유천동 138-3,30140312133175,,,,False
보라빌라,1995,2.3,36.31610614318238,127.4016909810226,대전광역시 중구 유천동 138-20,30140312133176,,,,False
